id,key,value,type
40020610,highway,trunk,regular
40020610,layer,2,regular
40020610,name,guangzhoudadaozhong,regular
40020610,name:en,Canton Avenue,regular
40020610,oneway,yes,regular
40026407,highway,unclassified,regular
40026407,name,dashatousimalu,regular
40026432,highway,primary_link,regular
40026432,name,donghulu,regular
40026432,oneway,yes,regular
40026436,highway,secondary,regular
40026436,name,donghulu,regular
40026436,oneway,yes,regular
40026445,bridge,viaduct,regular
40026445,highway,trunk,regular
40026445,lanes,2,regular
40026445,layer,1,regular
40026445,name,donghulu,regular
40026445,oneway,yes,regular
40026463,highway,trunk,regular
40026463,name,donghulu,regular
40026463,oneway,yes,regular
40026468,highway,primary_link,regular
40026468,lanes,2,regular
40026468,oneway,yes,regular
40026475,bridge,viaduct,regular
40026475,highway,trunk,regular
40026475,layer,2,regular
40026475,name,neihuanlu,regular
40026475,name:en,Inner Ring Highway,regular
40026475,oneway,yes,regular
40031831,highway,secondary,regular
40031831,name,yanjiangzhonglu,regular
40031831,name:en,Yanjiang Middle Road,regular
40031831,oneway,yes,regular
40033595,highway,secondary,regular
40033595,name,yuexiubeilu,regular
40033595,oneway,yes,regular
40033597,bridge,viaduct,regular
40033597,highway,secondary_link,regular
40033597,layer,1,regular
40033597,oneway,yes,regular
40033599,highway,primary,regular
40033599,name,xianlienanlu,regular
40033599,oneway,yes,regular
40033600,bridge,viaduct,regular
40033600,highway,trunk,regular
40033600,layer,2,regular
40033600,oneway,yes,regular
40033626,highway,trunk,regular
40033626,name,dongfengdonglu,regular
40033626,name:en,DongFeng East Road,regular
40033626,oneway,yes,regular
40047062,bridge,viaduct,regular
40047062,highway,trunk_link,regular
40047062,layer,2,regular
40047062,oneway,yes,regular
40047067,bridge,viaduct,regular
40047067,highway,trunk_link,regular
40047067,layer,2,regular
40047067,oneway,yes,regular
40047071,bridge,viaduct,regular
40047071,highway,trunk_link,regular
40047071,layer,1,regular
40047071,oneway,yes,regular
40047073,bridge,viaduct,regular
40047073,highway,trunk_link,regular
40047073,layer,1,regular
40047073,oneway,yes,regular
40047075,bridge,viaduct,regular
40047075,highway,trunk_link,regular
40047075,layer,2,regular
40047075,oneway,yes,regular
40047085,highway,tertiary,regular
40047085,name,lianxinlu,regular
40047085,oneway,yes,regular
40047086,highway,primary,regular
40047086,name,jichanglu,regular
40047086,oneway,yes,regular
40047086,source,Yahoo hires,regular
40096298,highway,secondary,regular
40096298,name,guangjiudamalu,regular
40096298,oneway,yes,regular
40096299,bridge,viaduct,regular
40096299,highway,trunk_link,regular
40096299,layer,1,regular
40096299,oneway,yes,regular
40096303,highway,primary_link,regular
40096303,oneway,yes,regular
40096304,bridge,viaduct,regular
40096304,highway,trunk,regular
40096304,layer,1,regular
40096304,oneway,yes,regular
40096305,highway,primary_link,regular
40096305,oneway,yes,regular
40096306,highway,secondary,regular
40096306,name,donghuananlu,regular
40096306,oneway,yes,regular
40096307,highway,primary,regular
40096307,name,donghuananlu,regular
40096307,oneway,yes,regular
40096311,bridge,viaduct,regular
40096311,highway,trunk_link,regular
40096311,layer,2,regular
40096311,oneway,yes,regular
40096313,highway,secondary_link,regular
40096313,oneway,yes,regular
40096315,access,no,regular
40096315,bicycle,no,regular
40096315,bridge,viaduct,regular
40096315,foot,no,regular
40096315,highway,service,regular
40096315,horse,no,regular
40096315,layer,1,regular
40096315,motor_vehicle,yes,regular
40096315,name,jiangwanzhuanyonggaojialu,regular
40096319,highway,trunk_link,regular
40096319,layer,1,regular
40096319,oneway,yes,regular
40096320,bridge,viaduct,regular
40096320,highway,trunk_link,regular
40096320,layer,2,regular
40096320,oneway,yes,regular
40096322,bridge,viaduct,regular
